Date,Open,High,Low,Close,Adj Close,Volume
2025-01-02,113.61000061035156,114.44000244140624,110.86000061035156,111.79000091552734,109.38209533691406,476800
2025-01-02,113.61000061035156,114.44000244140625,110.86000061035156,111.79000091552734,109.38209533691406,476800
2025-01-03,112.31999969482422,113.43000030517578,110.33999633789062,113.25,110.81063842773438,308900
2025-01-03,112.31999969482422,113.43000030517578,110.33999633789062,113.25,111.1732940673828,308900
2025-01-06,113.41000366210938,115.4000015258789,111.76000213623047,111.91000366210938,109.49950408935547,438700
2025-01-06,113.41000366210938,115.4000015258789,111.76000213623048,111.91000366210938,109.49950408935548,438700
2025-01-07,112.33999633789062,113.27999877929688,109.30000305175781,110.33999633789062,107.96332550048828,431600
2025-01-07,112.33999633789062,113.27999877929688,109.3000030517578,110.33999633789062,107.96331787109376,431600
2025-01-08,109.6500015258789,112.54000091552734,109.08999633789062,110.31999969482422,107.94375610351562,351700
2025-01-08,109.6500015258789,112.54000091552734,109.08999633789062,110.31999969482422,107.94375610351562,351700
2025-01-10,108.01000213623047,110.55999755859375,105.98999786376953,109.7699966430664,107.40560913085938,734500
2025-01-10,108.01000213623048,110.55999755859376,105.98999786376952,109.7699966430664,107.75711059570312,734500
2025-01-13,108.9000015258789,113.08999633789062,108.7699966430664,112.91999816894531,110.48775482177734,772400
2025-01-13,108.9000015258789,113.08999633789062,108.7699966430664,112.91999816894533,110.84934997558594,772400
2025-01-14,113.86000061035156,116.98999786376953,113.05999755859375,116.91999816894531,114.4015884399414,486400
2025-01-14,113.86000061035156,116.98999786376952,113.05999755859376,116.91999816894533,114.77599334716795,486400
2025-01-15,121.1500015258789,121.55000305175781,118.04000091552734,119.55999755859375,116.98472595214844,471200
2025-01-15,121.1500015258789,121.5500030517578,118.04000091552734,119.55999755859376,117.36758422851562,471200
2025-01-16,118.80999755859375,119.80000305175781,116.75,117.62999725341797,115.09629821777344,322500
2025-01-16,118.80999755859376,119.8000030517578,116.75,117.62999725341795,115.47297668457033,322500
2025-01-17,118.61000061035156,119.75,117.55000305175781,119.58000183105469,117.00430297851562,296100
2025-01-17,118.61000061035156,119.75,117.5500030517578,119.58000183105467,117.38722229003906,296100
2025-01-21,120.22000122070312,122.41000366210938,119.81999969482422,121.01000213623047,118.40349578857422,420300
2025-01-21,120.22000122070312,122.41000366210938,119.81999969482422,121.01000213623048,118.79100036621094,420300
2025-01-22,120.38999938964844,121.30999755859375,119.33000183105469,120.55000305175781,117.95342254638672,371600
2025-01-22,120.38999938964844,121.30999755859376,119.33000183105467,120.5500030517578,117.95342254638672,371600
2025-01-23,120.05000305175781,121.63999938964844,119.88999938964844,120.56999969482422,117.97296905517578,520700
2025-01-23,120.0500030517578,121.63999938964844,119.88999938964844,120.56999969482422,117.97297668457033,520700
2025-01-24,119.73999786376953,121.87000274658203,119.69000244140625,121.04000091552734,118.43284606933594,570200
2025-01-24,119.73999786376952,121.87000274658205,119.69000244140624,121.04000091552734,118.432861328125,570200
2025-01-27,120.97000122070312,122.33000183105469,119.56999969482422,121.11000061035156,118.50135040283203,817700
2025-01-27,120.97000122070312,122.33000183105467,119.56999969482422,121.11000061035156,118.88916778564452,817700
2025-01-28,120.08999633789062,122.3499984741211,119.61000061035156,121.62000274658205,119.00035858154295,1135800
2025-01-28,120.08999633789062,122.3499984741211,119.61000061035156,121.62000274658203,119.00035858154297,1135800
2025-01-29,120.08999633789062,123.77999877929688,116.54000091552734,122.55999755859375,119.92011260986328,1603100
2025-01-29,120.08999633789062,123.77999877929688,116.54000091552734,122.55999755859376,119.9201202392578,1603100
2025-01-30,123.69000244140624,124.2699966430664,118.77999877929688,120.3000030517578,117.7087860107422,1240800
2025-01-30,123.69000244140625,124.2699966430664,118.77999877929688,120.30000305175781,117.70880126953125,1240800
2025-01-31,120.33000183105467,121.80999755859376,117.37000274658205,117.9000015258789,115.36048889160156,5642700
2025-01-31,120.33000183105469,121.80999755859375,117.37000274658203,117.9000015258789,115.36048889160156,5642700
2025-02-03,114.08999633789062,116.11000061035156,111.48999786376952,113.23999786376952,110.80086517333984,1812100
2025-02-03,114.08999633789062,116.11000061035156,111.48999786376953,113.23999786376953,110.80085754394531,1812100
2025-02-04,113.25,115.7699966430664,112.3000030517578,114.58999633789062,112.1217803955078,921100
2025-02-04,113.25,115.7699966430664,112.30000305175781,114.58999633789062,112.12178039550781,921100
2025-02-05,115.44999694824219,117.66999816894531,114.37999725341797,117.4800033569336,114.94953155517578,863900
2025-02-05,115.4499969482422,117.66999816894533,114.37999725341795,117.4800033569336,114.94953155517578,863900
2025-02-06,118.05999755859376,118.1999969482422,115.4000015258789,116.33999633789062,113.83409118652344,980600
2025-02-06,118.05999755859375,118.19999694824219,115.4000015258789,116.33999633789062,113.8340835571289,980600
2025-02-07,116.7699966430664,116.91999816894533,113.25,114.11000061035156,111.6521224975586,904800
2025-02-07,116.7699966430664,116.91999816894531,113.25,114.11000061035156,111.6521224975586,904800
2025-02-10,114.05999755859376,114.19000244140624,111.6500015258789,113.23999786376952,110.80086517333984,753400
2025-02-10,114.05999755859375,114.19000244140625,111.6500015258789,113.23999786376953,110.80085754394531,753400
2025-02-11,112.73999786376953,115.1500015258789,112.37999725341797,114.16999816894531,111.7108154296875,605900
2025-02-11,112.73999786376952,115.1500015258789,112.37999725341795,114.16999816894533,111.7108154296875,605900
2025-02-12,112.31999969482422,114.0999984741211,112.20999908447266,112.94000244140624,110.50733184814452,649900
2025-02-12,112.31999969482422,114.0999984741211,112.20999908447266,112.94000244140625,110.50732421875,649900
2025-02-13,113.18000030517578,113.9000015258789,110.61000061035156,112.55999755859376,110.13550567626952,451900
2025-02-13,113.18000030517578,113.9000015258789,110.61000061035156,112.55999755859375,110.135498046875,451900
2025-02-14,112.94000244140624,114.0,111.76000213623048,111.86000061035156,109.4505844116211,427900
2025-02-14,112.94000244140625,114.0,111.76000213623047,111.86000061035156,109.45059204101562,427900
2025-02-18,111.81999969482422,113.98999786376953,111.47000122070312,113.93000030517578,111.47599792480469,546900
2025-02-18,111.81999969482422,113.98999786376952,111.47000122070312,113.93000030517578,111.47599792480467,546900
2025-02-19,114.30000305175781,114.30000305175781,112.19999694824219,113.0199966430664,110.5855941772461,609400
2025-02-19,114.3000030517578,114.3000030517578,112.1999969482422,113.0199966430664,110.947509765625,609400
2025-02-20,112.76000213623048,112.80999755859376,109.4800033569336,109.95999908447266,107.5915069580078,494000
2025-02-20,112.76000213623047,112.80999755859375,109.4800033569336,109.95999908447266,107.59151458740234,494000
2025-02-21,110.81999969482422,111.11000061035156,106.70999908447266,106.91000366210938,104.60720825195312,467800
2025-02-21,110.81999969482422,111.11000061035156,106.70999908447266,106.91000366210938,104.94955444335938,467800
2025-02-24,107.80999755859376,107.88999938964844,105.80999755859376,106.68000030517578,104.38215637207033,656400
2025-02-24,107.80999755859375,107.88999938964844,105.80999755859375,106.68000030517578,104.38215637207031,656400
2025-02-25,107.01000213623048,108.0500030517578,106.1999969482422,106.98999786376952,104.68547058105467,596400
2025-02-25,107.01000213623047,108.05000305175781,106.19999694824219,106.98999786376953,104.68549346923828,596400
2025-02-26,107.68000030517578,109.3499984741211,107.0999984741211,108.86000061035156,106.51520538330078,661100
2025-02-26,107.68000030517578,109.3499984741211,107.0999984741211,108.86000061035156,106.51519775390625,661100
2025-02-27,109.3499984741211,110.6500015258789,108.2300033569336,108.6500015258789,106.30972290039062,479400
2025-02-27,109.3499984741211,110.6500015258789,108.2300033569336,108.6500015258789,106.30973815917969,479400
2025-02-28,108.93000030517578,110.98999786376952,108.93000030517578,110.33000183105467,107.95354461669922,1035700
2025-02-28,108.93000030517578,110.98999786376953,108.93000030517578,110.33000183105469,107.95354461669922,1035700
2025-03-03,108.80000305175781,112.0,108.37999725341797,108.66000366210938,106.31951141357422,964500
2025-03-03,108.8000030517578,112.0,108.37999725341795,108.66000366210938,106.66747283935548,964500
2025-03-04,107.0,107.77999877929688,102.38999938964844,103.9499969482422,101.7109603881836,722200
2025-03-04,107.0,107.77999877929688,102.38999938964844,103.94999694824219,101.7109603881836,722200
2025-03-05,104.55000305175781,105.51000213623047,102.41999816894531,104.48999786376953,102.23931884765625,748000
2025-03-05,104.5500030517578,105.51000213623048,102.41999816894533,104.48999786376952,102.23933410644533,748000
2025-03-06,103.22000122070312,104.20999908447266,102.13999938964844,102.76000213623047,100.54660034179688,605000
2025-03-06,103.22000122070312,104.20999908447266,102.13999938964844,102.76000213623048,100.54660034179688,605000
2025-03-07,102.62999725341797,104.29000091552734,100.13999938964844,103.06999969482422,100.84991455078125,762600
2025-03-07,102.62999725341795,104.29000091552734,100.13999938964844,103.06999969482422,101.17996978759766,762600
2025-03-10,100.94000244140625,101.7300033569336,98.29000091552734,98.77999877929688,97.02887725830078,780000
2025-03-10,100.94000244140624,101.7300033569336,98.29000091552734,98.77999877929688,97.02887725830078,780000
2025-03-11,99.3000030517578,100.72000122070312,97.80999755859376,98.0,96.26271057128906,702600
2025-03-11,99.30000305175781,100.72000122070312,97.80999755859375,98.0,96.26270294189453,702600
2025-03-12,99.08000183105469,100.5,97.2699966430664,98.98999786376953,97.23515319824219,567300
2025-03-12,99.08000183105467,100.5,97.2699966430664,98.98999786376952,97.23514556884766,567300
2025-03-13,99.86000061035156,100.37000274658205,94.9000015258789,98.19000244140624,96.4493408203125,797200
2025-03-13,99.86000061035156,100.37000274658203,94.9000015258789,98.19000244140625,96.44933319091797,797200
2025-03-14,99.0999984741211,101.55999755859375,98.4000015258789,101.41999816894531,99.62208557128906,470200
2025-03-14,99.0999984741211,101.55999755859376,98.4000015258789,101.41999816894533,99.94810485839844,470200
