Date,Open,High,Low,Close,Adj Close,Volume
2025-01-02,137.07000732421875,139.47000122070312,136.72000122070312,137.86000061035156,137.86000061035156,853100
2025-01-02,137.07000732421875,139.47000122070312,136.72000122070312,137.86000061035156,137.86000061035156,853100
2025-01-03,138.32000732421875,139.52000427246094,137.1699981689453,138.10000610351562,138.10000610351562,745400
2025-01-03,138.32000732421875,139.52000427246094,137.1699981689453,138.10000610351562,138.10000610351562,745400
2025-01-06,138.3000030517578,139.72000122070312,136.1300048828125,136.85000610351562,136.85000610351562,1109000
2025-01-06,138.3000030517578,139.72000122070312,136.1300048828125,136.85000610351562,136.85000610351562,1109000
2025-01-07,137.72999572753906,139.42999267578125,136.83999633789062,137.5500030517578,137.5500030517578,962400
2025-01-07,137.72999572753906,139.42999267578125,136.83999633789062,137.5500030517578,137.5500030517578,962400
2025-01-08,137.6199951171875,139.1999969482422,137.0,138.7100067138672,138.7100067138672,899100
2025-01-08,137.6199951171875,139.1999969482422,137.0,138.7100067138672,138.7100067138672,899100
2025-01-10,137.75,142.8300018310547,137.49000549316406,140.89999389648438,140.89999389648438,1117700
2025-01-10,137.75,142.8300018310547,137.49000549316406,140.89999389648438,140.89999389648438,1117700
2025-01-13,141.0,144.0,138.4600067138672,143.02999877929688,143.02999877929688,1226600
2025-01-13,141.0,144.0,138.4600067138672,143.02999877929688,143.02999877929688,1226600
2025-01-14,142.4600067138672,144.24000549316406,139.38999938964844,139.50999450683594,139.50999450683594,985200
2025-01-14,142.4600067138672,144.24000549316406,139.38999938964844,139.50999450683594,139.50999450683594,985200
2025-01-15,140.47999572753906,142.63999938964844,138.66000366210938,142.55999755859375,142.55999755859375,829000
2025-01-15,140.47999572753906,142.63999938964844,138.66000366210938,142.55999755859375,142.55999755859375,829000
2025-01-16,142.75,143.5,140.72999572753906,141.9199981689453,141.9199981689453,776100
2025-01-16,142.75,143.5,140.72999572753906,141.9199981689453,141.9199981689453,776100
2025-01-17,142.85000610351562,144.82000732421875,141.57000732421875,143.25999450683594,143.25999450683594,976400
2025-01-17,142.85000610351562,144.82000732421875,141.57000732421875,143.25999450683594,143.25999450683594,976400
2025-01-21,144.57000732421875,146.27000427246094,143.47999572753906,145.8800048828125,145.8800048828125,1177500
2025-01-21,144.57000732421875,146.27000427246094,143.47999572753906,145.8800048828125,145.8800048828125,1177500
2025-01-22,146.10000610351562,147.17999267578125,145.30999755859375,146.75999450683594,146.75999450683594,694900
2025-01-22,146.10000610351562,147.17999267578125,145.30999755859375,146.75999450683594,146.75999450683594,694900
2025-01-23,146.75999450683594,148.72000122070312,146.0,147.5800018310547,147.5800018310547,756700
2025-01-23,146.75999450683594,148.72000122070312,146.0,147.5800018310547,147.5800018310547,756700
2025-01-24,146.39999389648438,149.17999267578125,145.97000122070312,148.72999572753906,148.72999572753906,946400
2025-01-24,146.39999389648438,149.17999267578125,145.97000122070312,148.72999572753906,148.72999572753906,946400
2025-01-27,147.1999969482422,151.52999877929688,147.1999969482422,148.19000244140625,148.19000244140625,1409700
2025-01-27,147.1999969482422,151.52999877929688,147.1999969482422,148.19000244140625,148.19000244140625,1409700
2025-01-28,149.0,152.6199951171875,148.25999450683594,150.7100067138672,150.7100067138672,1099700
2025-01-28,149.0,152.6199951171875,148.25999450683594,150.7100067138672,150.7100067138672,1099700
2025-01-29,150.36000061035156,153.33999633789062,149.0800018310547,150.67999267578125,150.67999267578125,991700
2025-01-29,150.36000061035156,153.33999633789062,149.0800018310547,150.67999267578125,150.67999267578125,991700
2025-01-30,152.0,154.61000061035156,151.13999938964844,153.2899932861328,153.2899932861328,867500
2025-01-30,152.0,154.61000061035156,151.13999938964844,153.2899932861328,153.2899932861328,867500
2025-01-31,153.38999938964844,154.35000610351562,151.66000366210938,151.82000732421875,151.82000732421875,773300
2025-01-31,153.38999938964844,154.35000610351562,151.66000366210938,151.82000732421875,151.82000732421875,773300
2025-02-03,149.2899932861328,151.6300048828125,148.02000427246094,150.10000610351562,150.10000610351562,890800
2025-02-03,149.2899932861328,151.6300048828125,148.02000427246094,150.10000610351562,150.10000610351562,890800
2025-02-04,150.17999267578125,153.8800048828125,150.17999267578125,152.4199981689453,152.4199981689453,814300
2025-02-04,150.17999267578125,153.8800048828125,150.17999267578125,152.4199981689453,152.4199981689453,814300
2025-02-05,151.67999267578125,153.08999633789062,150.72999572753906,151.1999969482422,151.1999969482422,1429400
2025-02-05,151.67999267578125,153.08999633789062,150.72999572753906,151.1999969482422,151.1999969482422,1429400
2025-02-06,151.6699981689453,153.10000610351562,150.0,150.50999450683594,150.50999450683594,1288100
